site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
3085,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,90,NA,21,NA,NA,10,3,NA,NA,NA,NA,NA,NA,7,NA,10,NA,NA,9,9,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,2,NA,4.684770584,NA,NA,NA,NA,NA,59,NA,22,NA,NA,48,259,NA,NA,NA,NA,NA,NA,6,NA,8,NA,NA,11,12,NA,5.277832508,92.51792908,0.003775741,13.92004681,5.691393852,0.037396956,11.37604332,52.37866974,16.5226593,246.3363495,0.253519595,-655.7395576,-2374.989323,RufousTailedHawk,15
3086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5.676926613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5.828465939,88.97395325,0.261274129,36.04320145,0.101400129,0.019991174,0.819060862,50.13224792,12.4575367,135.2272186,-0.574692845,-640.7395576,-2374.989323,RufousTailedHawk,15
3087,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,27,NA,40,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,17,NA,16,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,9.647518158,NA,NA,NA,NA,NA,42,NA,NA,NA,34,NA,9,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,10,NA,12,NA,6.119837761,90.79022217,4.061390877,26.88354492,0.322158188,0.250550896,0.115819067,49.15382385,18.27830124,69.16859436,0.226948798,-625.7395576,-2374.989323,RufousTailedHawk,15
3088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6.757639408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,6.267606735,90.18357849,4.494009495,24.78613281,0.348897755,0.324933767,0.370996475,48.91514969,20.65538025,26.07203674,0.074361749,-610.7395576,-2374.989323,RufousTailedHawk,15
3089,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,90,NA,NA,NA,NA,50,NA,103,110,8,NA,NA,NA,12,NA,NA,NA,NA,19,NA,16,19,12,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,1,9,2.405707836,NA,NA,NA,28,NA,NA,NA,NA,42,NA,23,312,302,NA,NA,NA,4,NA,NA,NA,NA,9,NA,11,12,13,5.990419865,85.77690125,0.381467223,22.06590843,0.105651520,0.203256384,0.103652343,50.52770996,24.30553436,45.78726578,0.066897303,-595.7395576,-2374.989323,RufousTailedHawk,15
3099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,82.02645111,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,4.964470387,466.071167,1.017502069,5.318459034,5.600944996,11.27333355,9.357120514,40.48073196,11.47105598,224.9243469,0.093350016,-940.7395576,-2389.989323,RufousTailedHawk,15
3106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15.34055614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,4.503283024,212.7666473,0.370485812,1.148498058,18.965784070,26.47170258,34.09733963,15.74805164,2.778064013,319.3291321,0.508205533,-835.7395576,-2389.989323,RufousTailedHawk,15
3107,0,0,0,0,0,0,0,0,1,0,0,0,0,225,5,10,30,10,1,5,10,120,1,9,20,7,9,17,15,9,16,9,10,10,8,14,14,11,8,4,6,3,6,2,1,1,3,2,1,1,1,9,3.292019844,55,320,288,341,273,280,259,288,25,314,337,318,295,1,2,3,4,5,6,7,8,9,10,11,12,13,5.358585358,189.0930328,0.361959606,3.257628202,15.382518770,31.19159317,31.60872459,13.3490591,2.474601269,168.3223114,-0.101964094,-820.7395576,-2389.989323,RufousTailedHawk,15
3110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.479468822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5.32032299,172.2706146,0.045665044,0.979753792,15.131081580,16.16129684,30.0502739,22.71060753,2.319598675,218.1038055,0.81978333,-745.7395576,-2389.989323,RufousTailedHawk,15
3111,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2.157225847,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,5.989383698,127.3421783,0.554153681,10.08715725,4.595934868,0.703208029,22.07730293,36.98094177,2.598130465,103.7219772,-0.074973509,-730.7395576,-2389.989323,RufousTailedHawk,15
3112,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,10,40,NA,120,NA,NA,NA,NA,NA,NA,NA,11,18,12,18,NA,19,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,1,2.157225847,NA,NA,NA,NA,NA,NA,NA,24,339,284,41,NA,355,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,NA,13,5.989383698,127.3421783,0.554153681,10.08715725,4.595934868,0.703208029,22.07730293,36.98094177,2.598130465,103.7219772,-0.074973509,-715.7395576,-2389.989323,RufousTailedHawk,15
3113,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,5,NA,15,NA,3,NA,8,NA,NA,NA,NA,NA,NA,19,NA,9,NA,17,NA,9,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,2,NA,4.523886681,NA,NA,NA,NA,NA,55,NA,26,NA,348,NA,284,NA,NA,NA,NA,NA,NA,6,NA,8,NA,10,NA,12,NA,5.298270702,125.8057175,0.216276526,9.248231888,7.619678497,0.063906282,22.70274162,50.26322937,9.379256248,246.061264,0.482042104,-700.7395576,-2389.989323,RufousTailedHawk,15
3116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,5.324856281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,5.303414822,94.29904175,0.273121715,7.067340374,7.368787766,1.29407239,13.83276367,50.99702835,18.981884,232.6115723,0.459303737,-655.7395576,-2389.989323,RufousTailedHawk,15
3117,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,5.161610603,NA,NA,NA,NA,NA,360,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,8,NA,NA,NA,NA,NA,5.71600008,93.04480743,0.242365107,20.64621544,0.601913273,0.044633798,1.709119439,51.86445999,24.80560684,149.9520721,0.294391632,-640.7395576,-2389.989323,RufousTailedHawk,15
3118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5.225563049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5.965999126,92.16280365,3.545283556,22.97604942,0.117953047,0.413396865,0.08375828,49.90753555,22.94586945,90.57846069,-0.181453198,-625.7395576,-2389.989323,RufousTailedHawk,15
3119,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,30,NA,NA,NA,NA,90,130,40,5,27,NA,NA,NA,10,NA,NA,NA,NA,12,14,10,8,12,NA,NA,NA,3,NA,NA,NA,NA,2,1,1,3,1,4.351900578,NA,NA,NA,28,NA,NA,NA,NA,11,314,297,338,322,NA,NA,NA,4,NA,NA,NA,NA,9,10,11,12,13,6.038626194,91.74430084,4.612031937,24.14587593,0.172243893,0.312120467,0.206613839,49.11576462,21.0657692,54.43599319,0.009465872,-610.7395576,-2389.989323,RufousTailedHawk,15
3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,1,2.405707836,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,NA,282,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,5.990419865,85.77690125,0.381467223,22.06590843,0.105651520,0.203256384,0.103652343,50.52770996,24.30553436,45.78726578,0.066897303,-595.7395576,-2389.989323,RufousTailedHawk,15
3121,0,NA,NA,0,0,0,0,0,0,0,0,0,0,15,NA,NA,30,30,30,60,96,103,64,3,12,5,11,NA,NA,8,13,17,10,10,9,11,7,12,20,3,NA,NA,1,1,2,1,10,1,1,1,2,1,2.326872826,16,NA,NA,325,348,320,354,343,362,298,291,358,297,1,NA,NA,4,5,6,7,8,9,10,11,12,13,5.881089687,89.01385498,0.971707463,19.94790459,1.145352006,0.285088509,1.52919054,49.9601059,23.74915314,39.04899979,-0.069060177,-580.7395576,-2389.989323,RufousTailedHawk,15
3122,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,120,30,35,60,40,NA,63,15,11,5,NA,NA,NA,9,8,11,10,10,NA,17,17,8,9,NA,NA,NA,1,1,1,1,1,NA,1,1,2,2,1.6708709,NA,NA,NA,310,295,252,293,244,NA,292,271,282,281,NA,NA,NA,4,5,6,7,8,NA,10,11,12,13,5.955004215,91.15367126,6.078266621,15.43372536,2.750998974,2.772166967,3.529435396,41.91348648,17.3591671,18.1067276,-0.43212688,-565.7395576,-2389.989323,RufousTailedHawk,15
3131,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,85.05778503,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5.481032848,441.5019836,3.361527443,2.442801952,3.949939013,13.2709322,3.727848053,25.2560215,8.553106308,101.5435791,-1.845820427,-925.7395576,-2404.989323,RufousTailedHawk,15
3132,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,45,NA,NA,5,15,160,55,NA,NA,NA,NA,NA,NA,19,NA,NA,19,13,6,19,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,64.82137299,NA,NA,NA,NA,NA,NA,13,NA,NA,6,37,304,333,NA,NA,NA,NA,NA,NA,7,NA,NA,10,11,12,13,4.519177914,361.3588562,2.92213583,0.804549694,7.053230762,16.10428429,6.119979382,27.73382568,6.578001022,289.5422668,2.066297531,-910.7395576,-2404.989323,RufousTailedHawk,15
3138,0,0,0,0,0,0,0,0,0,0,0,0,0,155,10,30,30,90,19,90,61,46,35,9,4,70,10,17,9,10,17,12,10,14,14,14,12,20,15,3,6,1,6,2,1,1,1,1,3,1,1,1,10.53312588,342,320,334,341,273,270,296,357,337,285,337,300,287,1,2,3,4,5,6,7,8,9,10,11,12,13,4.911929131,223.7906647,0.663459003,2.072566032,8.607384682,28.10673904,29.47676086,16.70404243,3.565519571,211.6850281,0.235823631,-820.7395576,-2404.989323,RufousTailedHawk,15
3142,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,14,10,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,15,11,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,3,4.479468822,NA,NA,NA,NA,NA,NA,NA,NA,49,48,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,13,5.32032299,172.2706146,0.045665044,0.979753792,15.131081580,16.16129684,30.0502739,22.71060753,2.319598675,218.1038055,0.81978333,-760.7395576,-2404.989323,RufousTailedHawk,15
3145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,13.24489021,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,6,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,5.193433285,146.8448334,0.095255539,2.572877407,15.219727520,1.592021823,32.92138672,44.64790726,2.27948761,248.3124237,0.121221997,-715.7395576,-2404.989323,RufousTailedHawk,15
3146,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.676539421,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.348396301,133.2025299,0.310054451,7.483283043,8.058191299,1.433165073,19.74617958,49.15595245,13.18065262,215.1033173,-0.201473042,-700.7395576,-2404.989323,RufousTailedHawk,15
3147,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,25,30,25,NA,4,10,8,5,NA,NA,NA,NA,NA,8,7,8,NA,17,18,16,11,NA,NA,NA,NA,NA,2,1,2,NA,1,1,1,2,6.012394905,NA,NA,NA,NA,NA,56,337,26,NA,348,361,337,337,NA,NA,NA,NA,NA,6,7,8,NA,10,11,12,13,5.434818745,121.3410492,0.507068276,6.952395916,4.926834106,0.530112088,8.122629166,53.08851624,25.50505447,197.8937225,-0.536602855,-685.7395576,-2404.989323,RufousTailedHawk,15
3148,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3.314863682,NA,NA,NA,NA,NA,NA,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5.538015366,110.2926636,0.370210677,4.602314472,6.375917912,0.767053425,10.67393017,53.78071976,23.47579575,178.6569824,-0.18462044,-670.7395576,-2404.989323,RufousTailedHawk,15
3149,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,38,30,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,9,10,10,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,2,NA,8.989061356,NA,NA,NA,NA,NA,56,337,35,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,12,NA,5.739700794,102.9651947,0.272148877,7.948928833,3.917898178,0.217435434,3.606898069,55.15003967,28.85487747,138.8406525,-0.218603626,-655.7395576,-2404.989323,RufousTailedHawk,15
3151,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,7.620932102,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,13,5.955120564,92.02043152,1.11132443,14.44333649,0.086932227,0.034398016,0.276933551,52.42594147,31.57063484,72.21412659,-0.130549878,-625.7395576,-2404.989323,RufousTailedHawk,15
3153,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.53212595,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5.882936954,89.45336151,0.125790998,20.18603325,0.018485142,0.010488445,0.166812867,51.88047028,27.40672874,53.0748291,-0.015662899,-595.7395576,-2404.989323,RufousTailedHawk,15
3154,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,30,NA,NA,NA,15,NA,10,64,12,26,NA,NA,NA,11,NA,NA,NA,9,NA,18,17,11,20,NA,NA,NA,2,NA,NA,NA,1,NA,1,5,1,2,2.326872826,NA,NA,NA,365,NA,NA,NA,334,NA,356,321,282,302,NA,NA,NA,4,NA,NA,NA,8,NA,10,11,12,13,5.881089687,89.01385498,0.971707463,19.94790459,1.145352006,0.285088509,1.52919054,49.9601059,23.74915314,39.04899979,-0.069060177,-580.7395576,-2404.989323,RufousTailedHawk,15
3155,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,45,9,20,78,53,NA,NA,NA,NA,NA,NA,NA,17,7,9,17,15,14,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,1,1,1.6708709,NA,NA,NA,NA,NA,NA,NA,10,298,334,271,331,296,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,12,13,5.955004215,91.15367126,6.078266621,15.43372536,2.750998974,2.772166967,3.529435396,41.91348648,17.3591671,18.1067276,-0.43212688,-565.7395576,-2404.989323,RufousTailedHawk,15
3156,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.733887911,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,5.6883564,100.9882584,2.611739397,6.347021103,10.308263780,2.691076517,27.12126923,45.19976044,3.683949471,55.99393463,0.708204389,-550.7395576,-2404.989323,RufousTailedHawk,15
3164,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,94.034935,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,4.024795055,475.0613403,4.056043148,1.212899923,2.674003601,8.270654678,2.625121832,46.61631012,3.533608437,361.9766235,-0.096060887,-925.7395576,-2419.989323,RufousTailedHawk,15
3167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55.67425537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4.246141434,338.7698669,1.388543963,1.167025208,10.745684620,20.05791664,16.18035698,30.6631813,9.814370155,346.9374695,1.914935231,-880.7395576,-2419.989323,RufousTailedHawk,15
3171,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,38,64,6,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,18,21,16,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,30.88616562,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,354,311,271,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,12,13,4.986033916,242.810257,0.077659428,3.245448112,8.629140854,26.30540466,22.83560753,16.5980835,7.125921249,191.4178772,1.636052728,-820.7395576,-2419.989323,RufousTailedHawk,15
3175,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,10,126,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,13,12,16,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,3,9.38660717,NA,NA,NA,NA,NA,NA,NA,NA,49,48,12,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,NA,13,5.098993301,195.072937,0.055258773,1.195914507,10.560655590,26.9468689,36.82150269,16.10933304,5.450638771,237.7993927,0.395305097,-760.7395576,-2419.989323,RufousTailedHawk,15
3176,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,9.38660717,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,13,5.098993301,195.072937,0.055258773,1.195914507,10.560655590,26.9468689,36.82150269,16.10933304,5.450638771,237.7993927,0.395305097,-745.7395576,-2419.989323,RufousTailedHawk,15
3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20.99886322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4.551499367,178.9737244,0.090632707,1.418337107,16.434425350,13.94209862,33.1135788,27.57017136,6.321989536,343.8345642,-1.810917139,-730.7395576,-2419.989323,RufousTailedHawk,15
3178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.39266968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4.692523003,160.5013275,0.143316045,1.336781979,23.433973310,7.272724152,34.68471527,26.86475372,4.052566528,319.6667175,0.960159719,-715.7395576,-2419.989323,RufousTailedHawk,15
3181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,8.459849358,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,NA,5.702343464,117.5319366,1.632312298,1.893331409,8.889866829,4.343976021,12.49368095,29.4669075,7.074226379,138.0533752,-0.161222532,-670.7395576,-2419.989323,RufousTailedHawk,15
3182,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,45,1,NA,180,10,60,NA,NA,NA,NA,NA,NA,NA,11,18,NA,15,9,8,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,2.36286211,NA,NA,NA,NA,NA,NA,337,24,NA,350,3,42,NA,NA,NA,NA,NA,NA,NA,7,8,NA,10,11,12,NA,5.62951088,107.3514862,0.795871973,2.643176317,10.538030620,1.372656345,15.18897915,51.36211777,17.82907104,137.2228851,0.077805929,-655.7395576,-2419.989323,RufousTailedHawk,15
3183,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.92602396,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,5.615790367,99.479599,0.056271538,4.222491741,7.429456234,1.208150744,11.50724792,52.17327118,22.81006241,130.1028137,-0.59576273,-640.7395576,-2419.989323,RufousTailedHawk,15
